id,Name,Surname,Date_of_birth,Country_of_Origin
0,Betty,Frey,12/6/1980 0:00:00,Estonia
1,Antoine,Leclerc,12/14/1982 0:00:00,Czech Republic
2,Dag,Eklund,5/4/1983 0:00:00,Netherlands
3,Erik,Phillips,6/4/1987 0:00:00,Iceland
4,Luka,Ahlgren,6/12/1950 0:00:00,Estonia
5,Ludwig,Schneider,8/20/2007 0:00:00,Germany
6,Jens,Fontaine,5/8/1979 0:00:00,Austria
7,Antoine,Evans,5/24/1979 0:00:00,Norway
8,Frida,Francois,2/21/1991 0:00:00,Switzerland
9,Dieter,Wright,10/26/1990 0:00:00,Denmark
10,Patricia,Knudsen,11/12/2004 0:00:00,Spain
11,Elfriede,Nygaard,4/15/1988 0:00:00,Switzerland
12,Nicolas,Markovic,5/25/1976 0:00:00,Austria
13,Eva,Schmitt,10/31/2012 0:00:00,Czech Republic
14,Petra,Masson,11/11/2010 0:00:00,Netherlands
15,Louis,Krause,12/26/1999 0:00:00,Spain
16,Christian,Nikolic,1/23/1991 0:00:00,Croatia
17,Erika,Zimmermann,4/1/1965 0:00:00,Croatia
18,Alfred,Carter,6/18/1981 0:00:00,Ireland
19,Pascal,Giraud,7/22/2007 0:00:00,Latvia
20,Steven,Kristensen,10/9/2004 0:00:00,Iceland
21,Chantal,Rasmussen,1/30/1977 0:00:00,Estonia
22,Christa,Faure,2/2/1970 0:00:00,Germany
23,Tormod,Ludwig,2/1/2002 0:00:00,Finland
24,Otto,Simon,8/4/1987 0:00:00,Latvia
25,Pascal,Iversen,3/24/1984 0:00:00,Netherlands
26,Morten,Lemoine,2/13/1975 0:00:00,France
27,Vidar,Holm,11/19/1978 0:00:00,Denmark
28,Frida,Zoric,8/31/2012 0:00:00,Portugal
29,Ragnar,Balazs,9/6/1992 0:00:00,Hungary
30,Daniel,Besson,9/1/1983 0:00:00,Estonia
31,Ursula,Collet,5/22/1977 0:00:00,Denmark
32,Daniel,Skov,8/30/1994 0:00:00,Estonia
33,Charlotte,Lefevre,4/22/2008 0:00:00,Switzerland
34,Nikita,Yanev,6/5/1973 0:00:00,Hungary
35,Katarina,Rey,6/2/1998 0:00:00,Poland
36,Otto,Durand,5/16/1989 0:00:00,Estonia
37,William,Bjork,2/1/1989 0:00:00,Greece
38,Vidar,Schuster,6/13/1999 0:00:00,Hungary
39,Vasil,Romanov,1/22/1999 0:00:00,Norway
40,Claus,Davis,11/3/1966 0:00:00,Estonia
41,Gertrud,Bergstrom,10/3/1995 0:00:00,Germany
42,Paul,Dragovic,7/15/1969 0:00:00,Ireland
43,Lars,Soderberg,5/7/1991 0:00:00,France
44,Renate,Pfeiffer,12/17/1981 0:00:00,Austria
45,Elfriede,Filipovic,1/7/1982 0:00:00,Estonia
46,Greta,Nikolic,3/27/2012 0:00:00,Romania
47,Vanya,Schwarz,5/11/1995 0:00:00,Greece
48,Betty,Moulin,11/23/2003 0:00:00,Estonia
49,Siri,Bogdanovic,11/22/1972 0:00:00,Italy
50,Jacques,Zoric,3/31/1995 0:00:00,Hungary
51,Stepan,Hagen,8/1/1988 0:00:00,Bulgaria
52,Odile,Fischer,8/26/1950 0:00:00,Romania
53,Arnaud,Axelsen,9/25/2005 0:00:00,Spain
54,Barbara,Balazs,11/13/1995 0:00:00,Portugal
55,Vladimir,Renaud,6/20/1986 0:00:00,France
56,Ivar,Hoffmann,6/6/2006 0:00:00,Germany
57,Odin,Berg,9/30/2007 0:00:00,France
58,Mira,Jackson,5/17/2008 0:00:00,Iceland
59,Ivar,Halvorsen,10/14/1971 0:00:00,Greece
60,Gunther,Leclerc,6/3/1998 0:00:00,Norway
61,Uwe,Collins,7/10/1987 0:00:00,Slovakia
62,Bernd,Schmitt,11/10/1988 0:00:00,Denmark
63,Laurent,Lambert,2/7/1969 0:00:00,Ireland
64,Anastasia,Balazs,9/19/1994 0:00:00,Austria
65,Patricia,Schröder,4/19/1959 0:00:00,Romania
66,Siegfried,Richter,11/8/1961 0:00:00,Germany
67,Sven,Frey,12/25/2012 0:00:00,Estonia
68,Ludwig,Johansson,11/20/1976 0:00:00,Croatia
69,Heinz,Jackson,10/12/2006 0:00:00,Belgium
70,Karolina,Garnier,3/27/1979 0:00:00,Ireland
71,Odile,Torres,6/21/2002 0:00:00,Denmark
72,Viktor,Miller,11/12/2011 0:00:00,Austria
73,Chantal,Hedlund,1/3/2008 0:00:00,Romania
74,Roman,Dragovic,3/4/1979 0:00:00,Czech Republic
75,Vidar,Svendsen,5/31/1978 0:00:00,Poland
76,Christa,Novakovic,4/15/1986 0:00:00,Croatia
77,Irina,Bojovic,5/25/1993 0:00:00,Poland
78,Corinne,Rousseau,10/15/1989 0:00:00,Greece
79,Astrid,Bojovic,11/16/1994 0:00:00,France
80,Francoise,Thompson,7/14/1975 0:00:00,Slovakia
81,James,Schneider,2/3/2012 0:00:00,Denmark
82,Tormod,Lehmann,8/11/1999 0:00:00,Portugal
83,Dag,White,5/18/1975 0:00:00,Denmark
84,Dominique,Soderberg,4/29/1990 0:00:00,Portugal
85,Brian,Hartmann,11/17/1998 0:00:00,Czech Republic
86,Sven,Dahl,9/24/2012 0:00:00,Greece
87,Helga,Davis,7/10/1965 0:00:00,Slovakia
